canonical_name,EXPDATE,Received Qty,Invoice date,Product_MFG DATE,Actual Purchase Rate,max Rate,Conversion unit,sgstrate,SGST_amount,Invoice No,Supplier State,CGST_amount,cgstrate,Batch,cgst,Item Net Amount,Supplier GST,GST Perc,HSN Code,Taxable amount,,mrp,igst,Supplier Name
दिव्य अश्वगंधा चूर्ण 100 ग्राम,21-01-2027,25,26-03-2025,31-01-2025,81.6704,83.34,PCS,2.5,51.044,TI6786AAA2425,UK,52.0875,2.5,AAGC250007,51.04,2143.84,05AAECK5765H1ZE,5,30049011,2041.75,,105,0,KANHA JI DISTRIBUTORS
नवरत्न आटा 2 किलो,07-09-2025,20,16-04-2025,11-03-2025,149.1475,149.15,PCS,2.5,74.57375,TI284AAA2526,UK,74.575,2.5,AHV2500009,74.57,3132.09,05AAECK5765H1ZE,5,11010000,2982.94,,180,0,KANHA JI DISTRIBUTORS
पारम्परिक गेहूँ का आटा 5 किलो,11-07-2025,8,16-04-2025,13-03-2025,207.14375,207.14,PCS,2.5,41.42875,TI284AAA2526,UK,41.428,2.5,PDV5250017,41.43,1740.01,05AAECK5765H1ZE,5,11010000,1657.15,,250,0,KANHA JI DISTRIBUTORS
पारम्परिक गेहूँ का आटा 10 किलो,20-07-2025,5,16-04-2025,22-03-2025,397.722,397.72,PCS,2.5,49.71525,TI284AAA2526,UK,49.715,2.5,PDV4250014,49.71,2088.03,05AAECK5765H1ZE,5,11010000,1988.6,,480,0,KANHA JI DISTRIBUTORS
सरसों का तेल 1 लीटर (पाउच),05-03-2026,24,16-04-2025,10-03-2025,151.009583333333,151.01,PCS,2.5,90.60575,TI284AAA2526,UK,90.606,2.5,N2B2500023,90.61,3805.45,05AAECK5765H1ZE,5,15149920,3624.24,,175,0,KANHA JI DISTRIBUTORS
एलोवेरा फाइबर जूस 1 लीटर,07-12-2025,12,16-04-2025,12-03-2025,131.604166666667,131.6,PCS,6,94.755,TI284AAA2526,UK,94.752,6,PGD2500086,94.76,1768.77,05AAECK5765H1ZE,12,30049011,1579.25,,210,0,KANHA JI DISTRIBUTORS
सुपर डिशवॉश बार 225 ग्राम (ऑफर),15-03-2028,24,16-04-2025,16-03-2025,47.56,51.88,PCS,9,102.7296,TI284AAA2526,UK,112.0608,9,AAXW250018,102.73,1346.9,05AAECK5765H1ZE,18,34011990,1141.44,,72,0,KANHA JI DISTRIBUTORS
एलोवेरा मिक्स्ड फ्रूट जैम 500 ग्राम,18-02-2026,12,16-04-2025,18-02-2025,51.57,51.57,PCS,6,37.1304,TI284AAA2526,UK,37.1304,6,B1O2500002,37.13,693.1,05AAECK5765H1ZE,12,20079990,618.84,,70,0,KANHA JI DISTRIBUTORS
दिव्य गंधक रसायन 50 ग्राम,10-04-2026,25,16-04-2025,10-04-2024,15.87,15.87,PCS,2.5,9.91875,TI285AAA2526,UK,9.91875,2.5,BGDR240001,9.92,416.59,05AAECK5765H1ZE,5,30049011,396.75,,20,0,KANHA JI DISTRIBUTORS
आरोग्यवर्धिनी वटी 80 टैबलेट,03-01-2030,20,16-04-2025,29-01-2025,47.62,47.62,PCS,2.5,23.81,TI285AAA2526,UK,23.81,2.5,BAVV250002,23.81,1000.02,05AAECK5765H1ZE,5,30049011,952.4,,60,0,KANHA JI DISTRIBUTORS
पुष्यानुग चूर्ण 100 ग्राम,30-11-2026,25,16-04-2025,10-12-2024,55.5596,55.56,PCS,2.5,34.72475,TI285AAA2526,UK,34.725,2.5,APNC240005,34.73,1458.45,05AAECK5765H1ZE,5,30049011,1389,,70,0,KANHA JI DISTRIBUTORS
योगराज गुग्गुल 40 टैबलेट,10-12-2029,20,16-04-2025,05-01-2025,31.7495,31.75,PCS,2.5,15.87475,TI285AAA2526,UK,15.875,2.5,BYRG250001,15.88,666.75,05AAECK5765H1ZE,5,30049011,635,,40,0,KANHA JI DISTRIBUTORS
दिव्य कुटजघन वटी 80 टैबलेट (500 मिग्रा),16-01-2028,20,16-04-2025,31-01-2025,95.24,95.24,PCS,2.5,47.62,TI285AAA2526,UK,47.62,2.5,BKJV250002,47.62,2000.04,05AAECK5765H1ZE,5,30049011,1904.8,,120,0,KANHA JI DISTRIBUTORS
सोया चंक्स 220 ग्राम,10-03-2026,20,16-04-2025,15-03-2025,40.527,40.53,PCS,6,48.6324,TI285AAA2526,UK,48.636,6,SCP250003,48.63,907.8,05AAECK5765H1ZE,12,21061000,810.53,,55,0,KANHA JI DISTRIBUTORS
खजूर 500 ग्राम,22-09-2025,4,16-04-2025,26-03-2025,255.58,255.58,PCS,6,61.3392,TI285AAA2526,UK,61.3392,6,AAYC250018,61.34,1145,05AAECK5765H1ZE,12,20019000,1022.32,,320,0,KANHA JI DISTRIBUTORS
दिव्य पीड़ांतक वटी 40 टैबलेट,04-10-2029,20,23-04-2025,30-10-2024,40.9205,40.92,PCS,6,49.1046,TI458AAA2526,UK,49.104,6,BPTV240050,49.1,916.61,05AAECK5765H1ZE,12,30049011,818.4,,55,0,KANHA JI DISTRIBUTORS
दिव्य शिलाजीत सत्व 20 ग्राम,02-02-2030,10,23-04-2025,28-02-2025,103.171,103.17,PCS,2.5,25.79275,TI458AAA2526,UK,25.7925,2.5,BSHS250003,25.79,1083.29,05AAECK5765H1ZE,5,30049011,1031.7,,130,0,KANHA JI DISTRIBUTORS
दिव्य अनुतैल 20 एमएल,16-01-2028,10,23-04-2025,31-01-2025,28.571,29.2,PCS,2.5,7.14275,TI458AAA2526,UK,7.3,2.5,BANT250003,7.14,299.99,05AAECK5765H1ZE,5,30049011,285.7,,40,0,KANHA JI DISTRIBUTORS
टंकन भस्म 5 ग्राम,09-11-2034,25,23-04-2025,31-12-2024,11.9,11.9,PCS,2.5,7.4375,TI458AAA2526,UK,7.4375,2.5,BTKB240023,7.44,312.38,05AAECK5765H1ZE,5,30049011,297.5,,15,0,KANHA JI DISTRIBUTORS
दिव्य महासुदर्शन घनवटी प्लस 60 टैबलेट,26-01-2028,20,23-04-2025,10-02-2025,74.4,74.4,PCS,6,89.28,TI458AAA2526,UK,89.28,6,AMSV250003,89.28,1666.56,05AAECK5765H1ZE,12,30049011,1488,,100,0,KANHA JI DISTRIBUTORS
दिव्य मेदोहर वटी 100 टैबलेट,03-02-2030,25,23-04-2025,01-03-2025,74.4,74.4,PCS,6,111.6,TI458AAA2526,UK,111.6,6,AMHV250010,111.6,2083.2,05AAECK5765H1ZE,12,30049011,1860,,100,0,KANHA JI DISTRIBUTORS
दिव्य मधुगृत 60 नग,19-02-2028,20,23-04-2025,06-03-2025,205.353,205.35,PCS,6,246.4236,TI458AAA2526,UK,246.42,6,BMDT250015,246.42,4599.9,05AAECK5765H1ZE,12,30049011,4107.06,,300,0,KANHA JI DISTRIBUTORS
दिव्य बीपीगृत 60 नग,21-02-2028,20,23-04-2025,08-03-2025,171.1295,171.13,PCS,6,205.3554,TI458AAA2526,UK,205.356,6,ADBP250007,205.35,3833.29,05AAECK5765H1ZE,12,30049011,3422.58,,250,0,KANHA JI DISTRIBUTORS
हेयर कलर डार्क ब्राउन (क्रीम+डेवलपर),24-02-2026,20,23-04-2025,01-03-2025,23.6,23.6,PCS,9,42.48,TI458AAA2526,UK,42.48,9,ACDD250011,42.48,556.96,05AAECK5765H1ZE,18,33059090,472,,35,0,KANHA JI DISTRIBUTORS
दिव्य धारा 10 एमएल,16-01-2028,20,23-04-2025,31-01-2025,30.8015,30.8,PCS,6,36.9618,TI458AAA2526,UK,36.96,6,ADYD250005,36.96,689.95,05AAECK5765H1ZE,12,30049011,616.03,,45,0,KANHA JI DISTRIBUTORS
त्रिफला गुग्गुल 40 टैबलेट,14-11-2029,20,23-04-2025,10-12-2024,31.7495,31.75,PCS,2.5,15.87475,TI458AAA2526,UK,15.875,2.5,BTPG240059,15.88,666.75,05AAECK5765H1ZE,5,30049011,635,,40,0,KANHA JI DISTRIBUTORS
कैशोर गुग्गुल 40 टैबलेट,05-12-2029,20,23-04-2025,31-12-2024,27.78,27.78,PCS,2.5,13.89,TI458AAA2526,UK,13.89,2.5,BKSG240034,13.89,583.38,05AAECK5765H1ZE,5,30049011,555.6,,35,0,KANHA JI DISTRIBUTORS
दिव्य लिवामृत एडवांस 60 नग,13-02-2028,20,23-04-2025,28-02-2025,164.2845,164.28,PCS,6,197.1414,TI458AAA2526,UK,197.136,6,ALAT250014,197.14,3679.97,05AAECK5765H1ZE,12,30049011,3285.69,,240,0,KANHA JI DISTRIBUTORS
गैशर चूर्ण 100 ग्राम,19-02-2027,25,23-04-2025,01-03-2025,71.8696,71.87,PCS,6,107.8044,TI458AAA2526,UK,107.805,6,BGHC250011,107.81,2012.36,05AAECK5765H1ZE,12,30049011,1796.75,,105,0,KANHA JI DISTRIBUTORS
दिव्य पीड़ानिल तैल 100 एमएल,16-01-2028,25,23-04-2025,31-01-2025,58.1804,58.18,PCS,6,87.2706,TI458AAA2526,UK,87.27,6,BDPN250010,87.27,1629.05,05AAECK5765H1ZE,12,30049011,1454.51,,85,0,KANHA JI DISTRIBUTORS
दिव्य ऑर्थोगृत 60 नग,31-01-2028,20,23-04-2025,15-02-2025,241.071,246.43,PCS,6,289.2852,TI458AAA2526,UK,295.716,6,AOTT250013,289.29,5400,05AAECK5765H1ZE,12,30049011,4821.43,,360,0,KANHA JI DISTRIBUTORS
विटामिन बी-समूह कैप्सूल 30,12-02-2027,4,23-04-2025,12-02-2025,164.56,184.9,PCS,9,59.2416,TI458AAA2526,UK,66.564,9,ABRY250002,59.24,776.72,05AAECK5765H1ZE,18,21069099,658.24,,300,0,KANHA JI DISTRIBUTORS
सौंफ साबुत 10 ग्राम,06-03-2026,100,23-04-2025,06-03-2025,6.5,6.84,PCS,2.5,16.25,TI458AAA2526,UK,17.1,2.5,ABKW250003,16.25,682.5,05AAECK5765H1ZE,5,9109100,650,,10,0,KANHA JI DISTRIBUTORS
जौ का दलिया 500 ग्राम,19-09-2025,30,23-04-2025,23-03-2025,44.68,44.68,PCS,2.5,33.51,TI459AAA2526,UK,33.51,2.5,PDCU250016,33.51,1407.42,05AAECK5765H1ZE,5,11031900,1340.4,,55,0,KANHA JI DISTRIBUTORS
दिव्य अश्वगंधारिष्ट 450 एमएल,07-01-2035,20,23-04-2025,28-02-2025,111.112,111.11,PCS,2.5,55.556,TI459AAA2526,UK,55.555,2.5,ASG250004,55.56,2333.36,05AAECK5765H1ZE,5,30049011,2222.24,,175,0,KANHA JI DISTRIBUTORS
गोनाइल फ्लोर क्लीनर 5 लीटर,02-02-2026,4,23-04-2025,07-02-2025,207.7075,237.38,PCS,9,74.7747,TI459AAA2526,UK,85.4568,9,0111/25-26,74.78,980.39,05AAECK5765H1ZE,18,38084000,830.84,,330,0,KANHA JI DISTRIBUTORS
गोनाइल फ्लोर क्लीनर 1 लीटर,21-03-2026,12,23-04-2025,26-03-2025,44.0608333333333,50.35,PCS,9,47.5857,TI459AAA2526,UK,54.378,9,0978/25-26,47.58,623.89,05AAECK5765H1ZE,18,38084000,528.72,,70,0,KANHA JI DISTRIBUTORS
नीम कांति बॉडी क्लींजर 4x45 ग्राम,17-03-2027,54,23-04-2025,17-03-2025,26.9701851851852,29.97,PCS,9,131.0751,TI459AAA2526,UK,145.6542,9,AAWM250004,131.07,1718.53,05AAECK5765H1ZE,18,34011941,1456.38,,40,0,KANHA JI DISTRIBUTORS
गाय का पूरा दूध पाउडर 500 ग्राम,29-08-2025,24,23-04-2025,02-03-2025,190.909583333333,190.91,PCS,2.5,114.54575,TI459AAA2526,UK,114.546,2.5,BLB2500003,114.55,4810.93,05AAECK5765H1ZE,5,4021090,4581.84,,235,0,KANHA JI DISTRIBUTORS
करेला-जामुन जूस 500 एमएल,24-03-2026,12,23-04-2025,24-03-2025,106.82,106.82,PCS,6,76.9104,TI459AAA2526,UK,76.9104,6,ABPB250007,76.91,1435.66,05AAECK5765H1ZE,12,30049011,1281.84,,150,0,KANHA JI DISTRIBUTORS
गुलाब शरबत 750 एमएल,09-04-2026,12,23-04-2025,09-04-2025,78.6833333333333,78.68,PCS,9,84.978,TI459AAA2526,UK,84.9744,9,AGK2500038,84.98,1114.16,05AAECK5765H1ZE,18,21069011,944.2,,140,0,KANHA JI DISTRIBUTORS
आँवला जूस 1 लीटर,25-03-2026,12,23-04-2025,25-03-2025,87.7366666666667,87.74,PCS,6,63.1704,TI459AAA2526,UK,63.1728,6,AGH2500062,63.17,1179.18,05AAECK5765H1ZE,12,30049011,1052.84,,140,0,KANHA JI DISTRIBUTORS
दिव्य गोधान अर्क 450 एमएल,05-03-2026,20,23-04-2025,10-03-2025,41.069,41.07,PCS,6,49.2828,TI459AAA2526,UK,49.284,6,AGDA250013,49.28,919.94,05AAECK5765H1ZE,12,30049011,821.37,,60,0,KANHA JI DISTRIBUTORS
ओट्स 500 ग्राम,07-03-2026,24,23-04-2025,07-03-2025,67.2,67.2,PCS,2.5,40.32,TI459AAA2526,UK,40.32,2.5,BNO070325,40.32,1693.44,05AAECK5765H1ZE,5,11041200,1612.8,,100,0,KANHA JI DISTRIBUTORS
दिव्य पीड़ांतक काढ़ा 100 ग्राम,26-12-2026,50,23-04-2025,05-01-2025,33.48,33.48,PCS,6,100.44,TI459AAA2526,UK,100.44,6,APTK250002,100.44,1874.88,05AAECK5765H1ZE,12,30049011,1674,,45,0,KANHA JI DISTRIBUTORS
फोर्टिफाइड सूरजमुखी तेल 1 लीटर (पाउच),16-01-2026,12,23-04-2025,21-04-2025,149.610833333333,149.61,PCS,2.5,44.88325,TI459AAA2526,UK,44.883,2.5,BR2A250014,44.88,1885.09,05AAECK5765H1ZE,5,15121910,1795.32,,175,0,KANHA JI DISTRIBUTORS
शिकाकाई पाउडर 100 ग्राम,18-03-2027,24,23-04-2025,18-03-2025,43.65,43.65,PCS,2.5,26.19,TI459AAA2526,UK,26.19,2.5,ABNZ250006,26.19,1099.98,05AAECK5765H1ZE,5,12119029,1047.6,,55,0,KANHA JI DISTRIBUTORS
पारम्परिक गेहूँ का आटा 5 किलो,11-07-2025,8,23-04-2025,13-03-2025,209.2775,209.28,PCS,2.5,41.8555,TI459AAA2526,UK,41.856,2.5,PDV5250017,41.86,1757.94,05AAECK5765H1ZE,5,11010000,1674.23,,250,0,KANHA JI DISTRIBUTORS
ब्राउन बासमती चावल 1 किलो (पाउच),30-12-2026,20,08-05-2025,09-01-2025,93.66,93.66,PCS,2.5,46.83,TI724AAA2526,UK,46.83,2.5,E7E2500001,46.83,1966.86,05AAECK5765H1ZE,5,10063020,1873.2,,140,0,KANHA JI DISTRIBUTORS
केश कांति एडवांस हर्बल एक्सपर्ट शैम्पू 100 एमएल,03-04-2027,36,08-05-2025,03-04-2025,73.37,86.32,PCS,9,237.7188,TI724AAA2526,UK,279.6768,9,AAWT250004,237.72,3116.76,05AAECK5765H1ZE,18,33051090,2641.32,,120,0,KANHA JI DISTRIBUTORS
ग्राउंडनट ऑयल 1 लीटर (पाउच),08-01-2026,12,08-05-2025,13-04-2025,159.64,159.64,PCS,2.5,47.892,TI724AAA2526,UK,47.892,2.5,ORQ2500017,47.89,2011.46,05AAECK5765H1ZE,5,15089091,1915.68,,185,0,KANHA JI DISTRIBUTORS
गाय का घी 1 लीटर,19-01-2026,15,08-05-2025,24-04-2025,575.88,575.88,PCS,6,518.292,TI724AAA2526,UK,518.292,6,FAWC250117,518.29,9674.78,05AAECK5765H1ZE,12,4059020,8638.2,,700,0,KANHA JI DISTRIBUTORS
गाय का घी 500 एमएल,26-12-2025,30,08-05-2025,31-03-2025,308.51,308.51,PCS,6,555.318,TI724AAA2526,UK,555.318,6,FAWD250024,555.32,10365.94,05AAECK5765H1ZE,12,4059020,9255.3,,375,0,KANHA JI DISTRIBUTORS
राइस ब्रान तेल 1 लीटर (पाउच),08-01-2026,12,08-05-2025,13-04-2025,142.380833333333,142.38,PCS,2.5,42.71425,TI724AAA2526,UK,42.714,2.5,ORE2500024,42.71,1793.99,05AAECK5765H1ZE,5,15159040,1708.56,,165,0,KANHA JI DISTRIBUTORS
सरसों का तेल 1 लीटर (पाउच),09-04-2026,24,08-05-2025,14-04-2025,151.009583333333,151.01,PCS,2.5,90.60575,TI724AAA2526,UK,90.606,2.5,N2B2500031,90.61,3805.45,05AAECK5765H1ZE,5,15149920,3624.24,,175,0,KANHA JI DISTRIBUTORS
सरसों का तेल 1 लीटर (बी),14-04-2026,12,08-05-2025,19-04-2025,155.319166666667,155.32,PCS,2.5,46.59575,TI724AAA2526,UK,46.596,2.5,N1B2500046,46.6,1957.03,05AAECK5765H1ZE,5,15149920,1863.84,,180,0,KANHA JI DISTRIBUTORS
टमाटर केचप बिना प्याज-लहसुन 950 ग्राम (पाउच),25-11-2025,12,08-05-2025,28-02-2025,88.89,88.89,PCS,6,64.0008,TI724AAA2526,UK,64.0008,6,DQU2500009,64,1194.68,05AAECK5765H1ZE,12,21032000,1066.68,,150,0,KANHA JI DISTRIBUTORS
सेंधा नमक 1 किलो,21-11-2026,25,08-05-2025,01-12-2024,40.36,40.36,PCS,0,0,TI724AAA2526,UK,0,0,SRS24/12,0,1009,05AAECK5765H1ZE,0,25010010,1009,,60,0,KANHA JI DISTRIBUTORS
पारम्परिक गेहूँ का आटा 10 किलो,20-07-2025,5,08-05-2025,22-03-2025,401.818,401.82,PCS,2.5,50.22725,TI724AAA2526,UK,50.2275,2.5,PDV4250014,50.23,2109.55,05AAECK5765H1ZE,5,11010000,2009.1,,480,0,KANHA JI DISTRIBUTORS
एलोवेरा फाइबर जूस 1 लीटर,16-01-2026,12,08-05-2025,21-04-2025,131.604166666667,131.6,PCS,6,94.755,TI724AAA2526,UK,94.752,6,PGD2500136,94.76,1768.77,05AAECK5765H1ZE,12,30049011,1579.25,,210,0,KANHA JI DISTRIBUTORS
करेला-जामुन जूस 500 एमएल,14-04-2026,12,08-05-2025,14-04-2025,106.82,106.82,PCS,6,76.9104,TI724AAA2526,UK,76.9104,6,ABPB250009,76.91,1435.66,05AAECK5765H1ZE,12,30049011,1281.84,,150,0,KANHA JI DISTRIBUTORS
गोनाइल फ्लोर क्लीनर 5 लीटर,02-02-2026,4,08-05-2025,07-02-2025,237.3775,237.38,PCS,9,85.4559,TI724AAA2526,UK,85.4568,9,0111/25-26,85.46,1120.43,05AAECK5765H1ZE,18,38084000,949.52,,330,0,KANHA JI DISTRIBUTORS
गोनाइल फ्लोर क्लीनर 1 लीटर,21-03-2026,12,08-05-2025,26-03-2025,50.35,50.35,PCS,9,54.378,TI724AAA2526,UK,54.378,9,0985/25-26,54.38,712.96,05AAECK5765H1ZE,18,38084000,604.2,,70,0,KANHA JI DISTRIBUTORS
फोर्टिफाइड सूरजमुखी तेल 1 लीटर (पाउच),16-01-2026,12,08-05-2025,21-04-2025,149.610833333333,149.61,PCS,2.5,44.88325,TI724AAA2526,UK,44.883,2.5,BR2A250014,44.88,1885.09,05AAECK5765H1ZE,5,15121910,1795.32,,175,0,KANHA JI DISTRIBUTORS
