cgst,remarks,igst,sgst,purchasetype,taxable,order_id,display_code,chalanno,GRN No,GRN Date,PO No,PO Date,Supplier Name,Supplier Bill NO,Suplier Bill Date,Bill Amount,Cash Discount,Cash Discount %,Total Discount,Manual Discount,Round Off,Supplier Payable,GRN Amount,Branch Name,Payment Terms,GRN Type,Login ID,qty,GST CESS Amnt,GST Amnt,Supplier Code,Supplier State,Supplier GSTIN
932.7919185674,,0,932.7919185674,Auto,20520.95364279,PO5AAA2526,,PI11,PI11AAA2526,21/05/2025,PO5AAA2526,,KANHA JI DISTRIBUTORS,TI847AAA2526,14/05/2025,22387,0,0,0,0,0.4625200752,10332535.24,22387,JAYANTI ENTERPRISES,credit,credit,ADMIN,268,,1865.5838371348,100060,5,05AAECK5765H1ZE
1294.4464702376,PAL AK,0,1294.4464702376,Auto,22913.03215964,PO6AAA2526,PAL AK,PI12,PI12AAA2526,28/05/2025,PO6AAA2526,,KANHA JI DISTRIBUTORS,TI995AAA2526,22/05/2025,25502,0,0,0,0,0.074899884803,10332535.24,25502,JAYANTI ENTERPRISES,credit,credit,ADMIN,15,,2588.8929404752,100060,5,05AAECK5765H1ZE
570.0514285716,OPEN ITEM AK,0,570.0514285716,Auto,8789.257142859999,,PEN ITEM AK,PI13,PI13AAA2526,28/05/2025,,,KANHA JI DISTRIBUTORS,TI996AAA2526,22/05/2025,9929,0,0,0,0,-0.360000003198,10332535.24,9929,JAYANTI ENTERPRISES,credit,credit,ADMIN,84,,1140.1028571432,100060,5,05AAECK5765H1ZE
1501.33046167865,,0,1501.33046167865,Auto,22664.85366415,PO7AAA2526,,PI14,PI14AAA2526,01/06/2025,PO7AAA2526,,KANHA JI DISTRIBUTORS,TI1121AAA2526,28/05/2025,25668,0,0,0,0,0.4854124927,10332535.24,25668,JAYANTI ENTERPRISES,credit,credit,ADMIN,145,,3002.6609233573,100060,5,05AAECK5765H1ZE
5788.10606998965,,0,5788.10606998965,Auto,112223.25779242,PO9AAA2526,,PI15,PI15AAA2526,07/07/2025,PO9AAA2526,,KANHA JI DISTRIBUTORS,TI1753AAA2526,02/07/2025,123799,0,0,419.770404,419.770404,-0.4699323993,10332535.24,123799,JAYANTI ENTERPRISES,credit,credit,ADMIN,126,,11576.2121399793,100060,5,05AAECK5765H1ZE
1054.7475495978,,0,1054.7475495978,Auto,17552.43582663,,,PI16,PI16AAA2526,07/07/2025,,,KANHA JI DISTRIBUTORS,TI1363AAA2526,11/06/2025,19662,0,0,0,0,0.0690741744,10332535.24,19662,JAYANTI ENTERPRISES,credit,credit,ADMIN,226,,2109.4950991956,100060,5,05AAECK5765H1ZE
2802.86166889365,,0,2802.86166889365,Auto,55515.35395275,PO8AAA2526,,PI17,PI17AAA2526,07/07/2025,PO8AAA2526,,KANHA JI DISTRIBUTORS,TI1362AAA2526,11/06/2025,61121,0,0,0,0,-0.0772905373,10332535.24,61121,JAYANTI ENTERPRISES,credit,credit,ADMIN,25,,5605.7233377873,100060,5,05AAECK5765H1ZE
945.0945906968,,0,945.0945906968,Auto,17798.99567828,,,PI18,PI18AAA2526,15/07/2025,,,KANHA JI DISTRIBUTORS,TI1897AAA2526,09/07/2025,19689,0,0,0,0,-0.1848596736,10332535.24,19689,JAYANTI ENTERPRISES,credit,credit,ADMIN,14,,1890.1891813936,100060,5,05AAECK5765H1ZE
1603.4197485283,,0,1603.4197485283,Auto,27732.49358658,PO11AAA2526,,PI19,PI19AAA2526,15/07/2025,PO11AAA2526,,KANHA JI DISTRIBUTORS,TI1896AAA2526,09/07/2025,30939,0,0,0,0,-0.3330836366,10332535.24,30939,JAYANTI ENTERPRISES,credit,credit,ADMIN,370,,3206.8394970566,100060,5,05AAECK5765H1ZE
1215.2674,,0,1215.2674,Auto,31708.43,PO10AAA2526,,PI20,PI20AAA2526,15/07/2025,PO10AAA2526,,DEEPAK TRADERS,TI30171AAA2526,09/07/2025,34139,0,0,0,0,0.0352,-272070,34139,JAYANTI ENTERPRISES,credit,credit,ADMIN,803,,2430.5348,110997,5,05AELPS3782C1ZD
647.04885446605,,0,647.04885446605,Auto,15849.97022905,PO12AAA2526,,PI21,PI21AAA2526,20/07/2025,PO12AAA2526,,KANHA JI DISTRIBUTORS,TI2000AAA2526,16/07/2025,17144,0,0,0,0,-0.0679379821,10332535.24,17144,JAYANTI ENTERPRISES,credit,credit,ADMIN,65,,1294.0977089321,100060,5,05AAECK5765H1ZE
2352.72712319795,PAL AK,0,2352.72712319795,Auto,55642.30347506,PO13AAA2526,PAL AK,PI22,PI22AAA2526,01/09/2025,PO13AAA2526,,KANHA JI DISTRIBUTORS,TI2602AAA2526,21/08/2025,60348,0,0,189.671928,189.671928,0.242278544101,10332535.24,60348,JAYANTI ENTERPRISES,credit,credit,admin,26,,4705.4542463959,100060,5,05AAECK5765H1ZE
1702.6928273077,DIVYA AK,0,1702.6928273077,Auto,34585.48042563,,DIVYA AK,PI23,PI23AAA2526,01/09/2025,,,KANHA JI DISTRIBUTORS,TI2603AAA2526,21/08/2025,37991,0,0,0,0,0.133919754597,10332535.24,37991,JAYANTI ENTERPRISES,credit,credit,admin,362,,3405.3856546154,100060,5,05AAECK5765H1ZE
118.377,,0,118.377,Auto,1315.3,,,PI24,PI24AAA2526,01/09/2025,,,DEEPAK TRADERS,TI30219AAA2526,03/08/2025,1552,0,0,0,0,-0.054,-272070,1552,JAYANTI ENTERPRISES,credit,credit,admin,12,,236.754,110997,5,05AELPS3782C1ZD
