table_name,column_name,data_type
purchase_invoice_staging_reverse,calculated_cgst_amount,decimal
purchase_invoice_staging_reverse,calculated_sgst_amount,decimal
purchase_invoice_staging_reverse,calculated_igst_amount,decimal
purchase_invoice_staging_reverse,calculated_line_total,decimal
purchase_invoice_staging_reverse,amount_difference,decimal
financial_periods,id,int
financial_periods,period_name,varchar
financial_periods,start_date,date
financial_periods,end_date,date
financial_periods,is_active,tinyint
financial_periods,is_closed,tinyint
financial_periods,created_at,timestamp
bank_statement_lines,id,int
bank_statement_lines,statement_id,int
bank_statement_lines,transaction_date,date
bank_statement_lines,description,varchar
bank_statement_lines,debit_amount,decimal
bank_statement_lines,credit_amount,decimal
bank_statement_lines,balance,decimal
bank_statement_lines,reference_no,varchar
bank_statement_lines,is_reconciled,tinyint
bank_statement_lines,journal_entry_id,int
bank_statement_lines,created_at,timestamp
txn_ref_log,id,int
txn_ref_log,ref_no,varchar
txn_ref_log,source,varchar
txn_ref_log,txn_date,date
txn_ref_log,amount,decimal
journal_lines,id,int
journal_lines,entry_id,int
journal_lines,account_type,enum
journal_lines,party_id,int
journal_lines,account_code,varchar
journal_lines,debit_amount,decimal
journal_lines,credit_amount,decimal
