mcat,display_code,remarks,ORDER_ID,brand,vertical,division,grndate,Item alias,HSN code,Received Qty,Purchase rate,Selling,mrp,Item Discount,Batch No,Mfg date,status,GRN No,Taxable amount,Conversion Unit,GST Perc,cgst,sgst,igst,Supplier Name,,,Item name,Conversion Factor,EXPDATE,QTY in Pcs,Inv date,Item Net Amount,Qty in CLD,Supplier Payable,Discount%,Ship Name,cgstrate,sgstrate,igstrate,LD,LDP,CESS_AMT,CESS_PER,Branch,Inv No,Supplier Code,Supplier State,Supplier GST,Supplier Channel,companyid,SecondaryDiscountPercent,BaseSecondaryDiscount,Actual Purchase Rate,warehouse,WAREHOUSE ADDRESS,forwardscheme,tcs_per,tcs_amt,baseprimarydiscount,primarydiscountpercent
Open,,,PO58AAA2425,MEDICATED JUICES,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,180022420,30049011,1,106.82,106.82,150,0,ABPB250005,11-03-2025,,PI2AAA2526,1281.84,Carton,12,76.91,76.91,0,KANHA JI DISTRIBUTORS,KARELA JAMUN 50-50 JUICE - 500 ML,करेला-जामुन 50-50 रस 500 मि.ली.,KARELA JAMUN 50-50 JUICE - 500 ML,12,11-03-2026,12,26-03-2025,1435.66,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,106.82,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,RICE BRAN OIL,PHYSICAL OIL & GHEE,FOOD,08-04-2025,180002965,15159040,1,142.38,142.38,165,0,ORE2500019,18-03-2025,,PI2AAA2526,1708.56,Carton,5,42.71,42.71,0,KANHA JI DISTRIBUTORS,RICE BRAN OIL 1 LTR (P),चावल की भूसी का तेल 1 लीटर,RICE BRAN OIL 1 LTR (P),12,13-12-2025,12,26-03-2025,1793.99,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,142.38,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,SUNFLOWER OIL,PHYSICAL OIL & GHEE,FOOD,08-04-2025,180003036,15121910,1,149.61,149.61,175,0,BR2A250007,28-02-2025,,PI2AAA2526,1795.32,Carton,5,44.88,44.88,0,KANHA JI DISTRIBUTORS,FORTIFIED SUNFLOWER OIL 1 LTR (P) - T,फोर्टिफाइड सूरजमुखी तेल 1 लीटर,FORTIFIED  SUNFLOWER OIL 1 LTR (P) - T,12,25-11-2025,12,26-03-2025,1885.09,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,149.61,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,SABUDANA,FLOUR & SUGAR,FOOD,08-04-2025,180002938,19030000,1,56.87,56.87,70,0,AALX250012,13-03-2025,,PI2AAA2526,1137.4,Carton,5,28.44,28.44,0,KANHA JI DISTRIBUTORS,SABUDANA 500 GM,साबूदाना 500 ग्राम,SABUDANA 500 GM,20,09-09-2025,20,26-03-2025,1194.27,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,56.87,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,POHA,FLOUR & SUGAR,FOOD,08-04-2025,150000780,19041020,1,70.76,70.76,85,0,BPRP250012,14-02-2025,,PI2AAA2526,1415.2,Carton,5,35.38,35.38,0,KANHA JI DISTRIBUTORS,POHA 1 KG -T,पोहा 1 किग्रा,POHA 1 KG -T,20,13-08-2025,20,26-03-2025,1485.96,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,70.76,Main Warehouse,ktm,0,0,0,0,0
Non-Open,,,PO58AAA2425,DIVYA PRODUCTS,MEDICINES,PHARMACY,08-04-2025,83481,30049011,10,59.52,59.52,80,0,AGKK250007,20-02-2025,,PI2AAA2526,595.2,PCS,12,35.71,35.71,0,KANHA JI DISTRIBUTORS,DIVYA GOKHRU KWATH 100 GM (JAR)-T,दिव्य गोखरू क्वाथ 100 ग्राम (जार),DIVYA GOKHRU KWATH 100 GM (JAR)-T,60,10-02-2027,10,26-03-2025,666.62,0.17,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,59.52,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,MEDICINE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,70900,30049011,20,69.79,69.79,100,113.94,AASP250005,27-01-2025,,PI2AAA2526,1281.86,PCS,12,76.91,76.91,0,KANHA JI DISTRIBUTORS,ASHVASHILA -11 GM (STRIP),अश्वशिला स्ट्रिप 11 ग्राम,ASHVASHILA -11 GM (STRIP),120,17-01-2027,20,26-03-2025,1435.68,0.17,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,71.21,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,MEDICINE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,70859,30049011,20,62.81,62.81,90,102.55,AASZ250005,15-01-2025,,PI2AAA2526,1153.65,PCS,12,69.22,69.22,0,KANHA JI DISTRIBUTORS,ASHVAGANDHA -11 GM (STRIP),अश्वगंधा स्ट्रिप 11 ग्राम,ASHVAGANDHA -11 GM (STRIP),120,05-01-2027,20,26-03-2025,1292.09,0.17,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,64.09,Main Warehouse,ktm,0,0,0,0,0
Open,,,PO58AAA2425,MEDICINE,JUICES & NATURAL BEVERAGES,FOOD,08-04-2025,3089,30049011,25,81.67,81.67,105,0,AAGC250007,31-01-2025,,PI2AAA2526,2041.75,PCS,5,51.04,51.04,0,KANHA JI DISTRIBUTORS,DIVYA ASHWAGANDHA CHURNA - 100 GM,दिव्य अश्वगंधा चूर्ण 100 ग्राम,DIVYA ASHWAGANDHA CHURNA - 100 GM,100,21-01-2027,25,26-03-2025,2143.84,0.25,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI6786AAA2425,100060,5,05AAECK5765H1ZE,,500875,0,0,83.34,Main Warehouse,ktm,0,0,0,0,0
Open,PAL AK,PAL AK,,ATTA,FLOUR & SUGAR,FOOD,22-04-2025,180002737,11010000,1,153.76,153.76,180,92.26,AHV2500009,11-03-2025,,PI3AAA2526,2982.94,Carton,5,74.57,74.57,0,KANHA JI DISTRIBUTORS,NAVRATNA ATTA 2 KG,नवरत्न आटा 2 किग्रा,NAVRATNA ATTA 2 KG,20,07-09-2025,20,16-04-2025,3132.09,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI284AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,149.15,Main Warehouse,ktm,0,0,0,0,0
Open,PAL AK,PAL AK,,ATTA,FLOUR & SUGAR,FOOD,22-04-2025,180002754,11010000,1,213.55,213.55,250,51.25,PDV5250017,13-03-2025,,PI3AAA2526,1657.15,Carton,5,41.43,41.43,0,KANHA JI DISTRIBUTORS,TRADITIONAL WHOLE WHEAT ATTA 5 KG,पारंपरिक गेहूं का आटा 5 किग्रा,TRADITIONAL WHOLE WHEAT ATTA 5 KG,8,11-07-2025,8,16-04-2025,1740.01,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI284AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,207.14,Main Warehouse,ktm,0,0,0,0,0
Open,PAL AK,PAL AK,,ATTA,FLOUR & SUGAR,FOOD,22-04-2025,180002753,11010000,1,410.02,410.02,480,61.5,PDV4250014,22-03-2025,,PI3AAA2526,1988.6,Carton,5,49.71,49.71,0,KANHA JI DISTRIBUTORS,TRADITIONAL WHOLE WHEAT ATTA 10 KG,पारंपरिक गेहूं का आटा 10 किग्रा,TRADITIONAL WHOLE WHEAT ATTA 10 KG,5,20-07-2025,5,16-04-2025,2088.03,1,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI284AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,397.72,Main Warehouse,ktm,0,0,0,0,0
Open,PAL AK,PAL AK,,MUSTARD OIL,PHYSICAL OIL & GHEE,FOOD,22-04-2025,180003018,15149920,2,151.01,151.01,175,0,N2B2500023,10-03-2025,,PI3AAA2526,3624.24,Carton,5,90.61,90.61,0,KANHA JI DISTRIBUTORS,MUSTARD OIL 1 L (P)-T,सरसों का तेल 1 लीटर,MUSTARD OIL 1 L (P)-T,12,05-03-2026,24,16-04-2025,3805.45,2,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI284AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,151.01,Main Warehouse,ktm,0,0,0,0,0
Open,PAL AK,PAL AK,,ALOEVERA JUICE,JUICES & NATURAL BEVERAGES,FOOD,22-04-2025,180002657,30049011,1,149.55,149.55,210,215.35,PGD2500086,12-03-2025,,PI3AAA2526,1579.25,Carton,12,94.76,94.76,0,KANHA JI DISTRIBUTORS,ALOEVERA JUICE 1 L (FIBRE),एलोवेरा रस (फाइबर युक्त) 1 लीटर,ALOEVERA JUICE 1 L (FIBRE),12,07-12-2025,12,16-04-2025,1768.77,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI284AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,131.6,Main Warehouse,ktm,0,0,0,0,0
Open,PAL AK,PAL AK,,DISHWASH,HOME CARE,NON FOOD,22-04-2025,180026226,34011990,2,47.56,47.56,72,0,AAXW250018,16-03-2025,,PI3AAA2526,1141.44,Carton,18,102.73,102.73,0,KANHA JI DISTRIBUTORS,SUPER DISHWASH BAR-225 G B3G1 FREE,सुपर डिशवॉश बार 225 ग्राम (खरीदो 3 पाओ 1 मुफ्त),SUPER DISHWASH BAR-225 G B3G1 FREE,12,15-03-2028,24,16-04-2025,1346.9,2,-10298287.24,0,,9,9,0,0,0,0,0,PATANJALI STORE,TI284AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,51.88,Main Warehouse,ktm,0,0,0,2.08,4
Open,PAL AK,PAL AK,,JAM,BISCUIT & CONFFECTIONARY,BISCUIT & CONFFECTIONARY,22-04-2025,180002720,20079990,1,51.57,51.57,70,0,B1O2500002,18-02-2025,,PI3AAA2526,618.84,Carton,12,37.13,37.13,0,KANHA JI DISTRIBUTORS,ALOEVERA MIXED FRUIT JAM 500 G,एलोवेरा मिक्स्ड फ्रूट जैम 500 ग्राम,ALOEVERA MIXED FRUIT JAM 500 G,12,18-02-2026,12,16-04-2025,693.1,1,-10298287.24,0,,6,6,0,0,0,0,0,PATANJALI STORE,TI284AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,51.57,Main Warehouse,ktm,0,0,0,0,0
Non-Open,DIVYA AK,DIVYA AK,PO2AAA2526,DIVYA PRODUCTS,MEDICINES,PHARMACY,22-04-2025,83652,30049011,25,15.87,15.87,20,0,BGDR240001,10-04-2024,,PI4AAA2526,396.75,PCS,5,9.92,9.92,0,KANHA JI DISTRIBUTORS,DIVYA GANDHAK RASAYAN 50 G-T,दिव्य गंधक रसायन 50 ग्राम,DIVYA GANDHAK RASAYAN 50 G-T,200,10-04-2026,25,16-04-2025,416.59,0.13,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI285AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,15.87,Main Warehouse,ktm,0,0,0,0,0
Non-Open,DIVYA AK,DIVYA AK,PO2AAA2526,VATI & GUGGAL,MEDICINES,PHARMACY,22-04-2025,81445,30049011,20,47.62,47.62,60,0,BAVV250002,29-01-2025,,PI4AAA2526,952.4,PCS,5,23.81,23.81,0,KANHA JI DISTRIBUTORS,Arogyavardhani Vati 80 Tab,आरोग्यवर्धिनी वटी 80 टैबलेट,Arogyavardhani Vati 80 Tab,400,03-01-2030,20,16-04-2025,1000.02,0.05,-10298287.24,0,,2.5,2.5,0,0,0,0,0,PATANJALI STORE,TI285AAA2526,100060,5,05AAECK5765H1ZE,,500875,0,0,47.62,Main Warehouse,ktm,0,0,0,0,0
