150001115,49.13,ATTA NOODLES CHATPATA-60 GM (96 PC) - T,आटा नूडल्स चटपटा 60 ग्राम (96 नग),ATTA NOODLES CHATPATA-60 GM (96 PC) - T,19-11-2024,1,0,04-04-2024,23-02-2024,96,1,8.53,ktm,8.53,BISCUIT & CONFFECTIONARY,10-04-2024,,,Carton,100060,,6,TI53AAA2425,5,0,8.53,0,0,Main Warehouse,6,0,CH230224,Open,BISCUIT & CONFFECTIONARY,0,PI1AAA2425,PATANJALI STORE,,49.13,0,917.15,05AAECK5765H1ZE,-10298287.24,12,0,,19022090,,0,818.88,NOODLES,96,12,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0.55,6.25
150000727,45.97,TUVAR DAL 1000 GM (R1),अरहर दाल 1000 ग्राम,TUVAR DAL 1000 GM (R1),15-11-2024,1,0,04-04-2024,19-02-2024,10,1,183.89,ktm,183.89,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,183.89,0,0,Main Warehouse,2.5,0,BPRAD24005,Open,RICE/PULSES/SPICES,0,PI1AAA2425,PATANJALI STORE,,45.97,0,1930.85,05AAECK5765H1ZE,-10298287.24,5,0,,7136000,,0,1838.9,PULSES,10,225,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002882,31.15,SABZI MASALA 100 GM (30 pcs),सब्जी मसाला 100 ग्राम (30 नग),SABZI MASALA 100 GM (30 pcs),07-03-2025,1,79.54,04-04-2024,12-03-2024,30,1,44.19,ktm,44.19,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,44.19,0,0,Main Warehouse,2.5,0,AFI2400009,Open,RICE/PULSES/SPICES,0,PI1AAA2425,PATANJALI STORE,,31.15,0,1308.47,05AAECK5765H1ZE,-10298287.24,5,0,,9109100,,0,1246.16,SPICES,30,65,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
72863,427.88,DANT KANTI NATURAL(200GX3)BIG SAVER PACK,दंत कान्ति नेचुरल (200 ग्राम × 3) बड़ा बचत पैक,DANT KANTI NATURAL(200GX3)BIG SAVER PACK,18-02-2026,1,147.04,04-04-2024,29-02-2024,24,1,204.22,ktm,204.22,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,204.22,0,0,Main Warehouse,9,0,AAPW240008,Open,DENTAL CARE,0,PI1AAA2425,PATANJALI STORE,,427.88,0,5610,05AAECK5765H1ZE,-10298287.24,18,0,,33061020,,0,4754.24,DANT KANTI,24,280,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81463,43.75,DIVYA GODHAN ARK - 450ML,दिव्य गोधन अर्क 450 मि.ली.,DIVYA GODHAN ARK - 450ML,28-01-2025,1,0,04-04-2024,03-02-2024,20,1,36.46,ktm,37.2,FOOD,10-04-2024,,,Carton,100060,,6,TI53AAA2425,5,0,36.46,0,0,Main Warehouse,6,0,AGDA240007,Open,JUICES & NATURAL BEVERAGES,0,PI1AAA2425,PATANJALI STORE,,43.75,0,816.7,05AAECK5765H1ZE,-10298287.24,12,0,,30049011,,0,729.2,MEDICINE,20,50,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81050,81.35,GONYLE FLOOR CLEANER - 5 LTR,गोनाइल फ्लोर क्लीनर 5 लीटर,GONYLE FLOOR CLEANER - 5 LTR,27-02-2025,1,37.66,04-04-2024,04-03-2024,4,1,235.39,ktm,235.39,NON FOOD,10-04-2024,,,Carton,100060,,9,TI53AAA2425,5,0,235.39,0,0,Main Warehouse,9,0,0161/23-24,Open,HOME CARE,0,PI1AAA2425,PATANJALI STORE,,81.35,0,1066.6,05AAECK5765H1ZE,-10298287.24,18,0,,38084000,,0,903.9,GONYLE,4,330,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002829,45.78,GILOY JUICE 500 ML,गिलोय रस 500 मि.ली.,GILOY JUICE 500 ML,01-03-2025,1,0,04-04-2024,01-03-2024,12,1,63.58,ktm,63.58,FOOD,10-04-2024,,,Carton,100060,,6,TI53AAA2425,5,0,63.58,0,0,Main Warehouse,6,0,PFY2400004,Open,JUICES & NATURAL BEVERAGES,0,PI1AAA2425,PATANJALI STORE,,45.78,0,854.52,05AAECK5765H1ZE,-10298287.24,12,0,,30049011,,0,762.96,MEDICATED JUICES,12,90,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002657,94,ALOEVERA JUICE 1 L (FIBRE),एलोवेरा रस (फाइबर युक्त) 1 लीटर,ALOEVERA JUICE 1 L (FIBRE),02-12-2024,1,213.64,04-04-2024,07-03-2024,12,1,148.36,ktm,148.36,FOOD,10-04-2024,,,Carton,100060,,6,TI53AAA2425,5,0,148.36,0,0,Main Warehouse,6,0,PGD2400100,Open,JUICES & NATURAL BEVERAGES,0,PI1AAA2425,PATANJALI STORE,,94,0,1754.68,05AAECK5765H1ZE,-10298287.24,12,0,,30049011,,0,1566.68,ALOEVERA JUICE,12,210,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002931,48.11,BURA 1 KG,बूरा 1 किग्रा,BURA 1 KG,01-12-2024,1,0,04-04-2024,06-03-2024,30,1,64.14,ktm,64.14,FOOD,10-04-2024,,,Carton,100060,,2.5,TI53AAA2425,5,0,64.14,0,0,Main Warehouse,2.5,0,AKI2400028,Open,FLOUR & SUGAR,0,PI1AAA2425,PATANJALI STORE,,48.11,0,2020.41,05AAECK5765H1ZE,-10298287.24,5,0,,17029090,,0,1924.2,BURA,30,75,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
180002938,14.1,SABUDANA 500 GM,साबूदाना 500 ग्राम,SABUDANA 500 GM,08-09-2024,0.5,0,04-04-2024,12-03-2024,20,10,56.39,ktm,56.39,FOOD,10-04-2024,,,PCS,100060,,2.5,TI53AAA2425,5,0,56.39,0,0,Main Warehouse,2.5,0,AALX240014,Open,FLOUR & SUGAR,0,PI1AAA2425,PATANJALI STORE,,14.1,0,592.1,05AAECK5765H1ZE,-10298287.24,5,0,,19030000,,0,563.9,SABUDANA,10,70,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
3044,49.1,Divya Jwar Nashak Vati 40 Tab,दिव्य ज्वर नाशक वटी 40 टैबलेट,Divya Jwar Nashak Vati 40 Tab,19-11-2026,0.05,0,04-04-2024,05-12-2023,400,20,40.92,ktm,40.92,PHARMACY,10-04-2024,,,PCS,100060,,6,TI54AAA2425,5,0,40.92,0,0,Main Warehouse,6,0,AJNV230018,Non-Open,MEDICINES,0,PI2AAA2425,PATANJALI STORE,,49.1,0,916.61,05AAECK5765H1ZE,-10298287.24,12,0,,30049011,,0,818.4,VATI & GUGGAL,20,55,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
3089,41.32,DIVYA ASHWAGANDHA CHURNA - 100 GM,दिव्य अश्वगंधा चूर्ण 100 ग्राम,DIVYA ASHWAGANDHA CHURNA - 100 GM,23-01-2026,0.25,0,04-04-2024,03-02-2024,100,25,66.11,ktm,67.46,FOOD,10-04-2024,,,PCS,100060,,2.5,TI54AAA2425,5,0,66.11,0,0,Main Warehouse,2.5,0,AAGC240013,Open,JUICES & NATURAL BEVERAGES,0,PI2AAA2425,PATANJALI STORE,,41.32,0,1735.39,05AAECK5765H1ZE,-10298287.24,5,0,,30049011,,0,1652.75,MEDICINE,25,85,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
73868,142.94,ALOE SOFT MOISTURIZING CREAM-50 G,एलो सॉफ्ट मॉइस्चराइजिंग क्रीम 50 ग्राम,ALOE SOFT MOISTURIZING CREAM-50 G,09-01-2026,0.33,138.11,04-04-2024,10-01-2024,72,24,71.93,ktm,71.93,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,71.93,0,0,Main Warehouse,9,0,ABHW240001,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,142.94,0,1874.08,05AAECK5765H1ZE,-10298287.24,18,0,,33049930,,0,1588.21,SKIN CARE,24,100,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
82960,109.38,DIVYA SHILAJEET DROPS 30 ML - T,दिव्य शिलाजीत ड्रॉप्स 30 मि.ली.,DIVYA SHILAJEET DROPS 30 ML - T,30-12-2025,0.22,0,04-04-2024,10-01-2024,90,20,91.15,ktm,93.01,FOOD,10-04-2024,,,PCS,100060,,6,TI54AAA2425,5,0,91.15,0,0,Main Warehouse,6,0,BSJD240001,Open,JUICES & NATURAL BEVERAGES,0,PI2AAA2425,PATANJALI STORE,,109.38,0,2041.76,05AAECK5765H1ZE,-10298287.24,12,0,,30049011,,0,1823,MEDICINE,20,125,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
1251,38.13,ROSE FACE WASH 60 G,गुलाब फेस वॉश 60 ग्राम,ROSE FACE WASH 60 G,09-04-2025,0.13,47.08,04-04-2024,17-10-2023,96,12,39.23,ktm,39.23,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,39.23,0,0,Main Warehouse,9,0,AIO2300004,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,38.13,0,499.95,05AAECK5765H1ZE,-10298287.24,18,0,,34013090,,0,423.68,FACE WASH,12,55,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
72300,88.75,SAUNDARYA ALOEVERA GEL K.CHANDAN 60 ML,सौंदर्य एलोवेरा जेल केसर-चंदन 60 मि.ली.,SAUNDARYA ALOEVERA GEL K.CHANDAN 60 ML,08-08-2025,0.25,41.09,04-04-2024,15-02-2024,96,24,42.8,ktm,42.8,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,42.8,0,0,Main Warehouse,9,0,AAHU240004,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,88.75,0,1163.62,05AAECK5765H1ZE,-10298287.24,18,0,,33049910,,0,986.11,ALOEVERA GEL,24,60,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
73771,201.98,BEAUTY CREAM ADV.- 50 G,ब्यूटी क्रीम एडवांस 50 ग्राम,BEAUTY CREAM ADV.- 50 G,19-11-2025,0.38,195.16,04-04-2024,20-11-2023,96,36,67.76,ktm,67.76,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,67.76,0,0,Main Warehouse,9,0,ABED230015,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,201.98,0,2648.16,05AAECK5765H1ZE,-10298287.24,18,0,,33049910,,0,2244.2,SKIN CARE,36,95,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
1077,127.58,CRACK HEAL CREAM 50 G,क्रैक हील क्रीम 50 ग्राम,CRACK HEAL CREAM 50 G,11-01-2026,0.38,123.26,04-04-2024,12-01-2024,96,36,42.8,ktm,42.8,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,42.8,0,0,Main Warehouse,9,0,AAE2400001,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,127.58,0,1672.7,05AAECK5765H1ZE,-10298287.24,18,0,,33049990,,0,1417.54,SKIN CARE,36,60,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
82024,65.39,Divya Gulab Jal 120 ml-DUP,दिव्य गुलाब जल 120 मि.ली.,Divya Gulab Jal 120 ml-DUP,28-01-2025,0.33,0,04-04-2024,03-02-2024,90,30,24.22,ktm,24.71,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,24.22,0,0,Main Warehouse,9,0,BGLJ240013,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,65.39,0,857.39,05AAECK5765H1ZE,-10298287.24,18,0,,33030020,,0,726.6,GULAB JAL (DP),30,35,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
70795,33.91,DRISHTI EYE DROP 10 ML (NEW),दृष्टि नेत्र ड्रॉप 10 मि.ली. (नया),DRISHTI EYE DROP 10 ML (NEW),18-03-2025,0.25,0,04-04-2024,18-03-2024,160,40,14.13,ktm,14.13,NON FOOD,10-04-2024,,,PCS,100060,,6,TI54AAA2425,5,0,14.13,0,0,Main Warehouse,6,0,AAST240009,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,33.91,0,633.02,05AAECK5765H1ZE,-10298287.24,12,0,,30049011,,0,565.2,EYE DROP,40,20,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
81846,24.08,KESH KANTI HERBAL MEHANDI (NAT. BLACK)-T,केश कान्ति हर्बल मेहंदी (नेचुरल ब्लैक),KESH KANTI HERBAL MEHANDI (NAT. BLACK)-T,26-12-2024,0.17,0,04-04-2024,01-01-2024,120,20,13.38,ktm,13.38,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,13.38,0,0,Main Warehouse,9,0,ANBL240021,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,24.08,0,315.77,05AAECK5765H1ZE,-10298287.24,18,0,,33059090,,0,267.6,HERBAL MEHANDI & COLOUR,20,20,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
1312,95.68,BOROSAFE ANTISEPTIC 50 GM CREAM,बोरोज़सेफ एंटीसेप्टिक क्रीम 50 ग्राम,BOROSAFE ANTISEPTIC 50 GM CREAM,24-11-2025,0.38,92.44,04-04-2024,05-12-2023,96,36,32.1,ktm,32.1,NON FOOD,10-04-2024,,,PCS,100060,,9,TI54AAA2425,5,0,32.1,0,0,Main Warehouse,9,0,AJG2300009,Open,NATURAL PERSONAL CARE,0,PI2AAA2425,PATANJALI STORE,,95.68,0,1254.53,05AAECK5765H1ZE,-10298287.24,18,0,,33049910,,0,1063.16,SKIN CARE,36,45,0,KANHA JI DISTRIBUTORS,500875,0,0,0,0,0
