item_name,hindi_name,exp_date,invoice_date,mfg_date,quantity,invoice_no,batch_no,supplier_gstin,hsn_code,supplier_name,data_source,Item_Net_Amount,calculated_taxable_amount,calculated_rate,cgst_rate,sgst_rate,igst_rate,total_gst_rate,calculated_cgst_amount,calculated_sgst_amount,calculated_igst_amount,calculated_line_total
DIVYA DHARA 10 ML (800 PC),दिव्य धारा 10 मि.ली. (800 नग),2026-11-22,2024-04-04,2023-12-08,10,TI54AAA2425,ADYD230046,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,367.47,328.0982142857143,32.809821428571425,6.0,6.0,0,12,19.685892857142857,19.685892857142857,0.0,367.46999999999997
KESH KANTI ADVANCE H.HAIR EXPERTOIL 30ML,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 30 मि.ली.,2025-12-26,2024-04-04,2023-12-27,6,TI54AAA2425,AAUK230011,05AAECK5765H1ZE,33059019,KANHA JI DISTRIBUTORS,file1_2024-2025,416.38,352.864406779661,58.81073446327684,9.0,9.0,0,18,31.75779661016949,31.75779661016949,0.0,416.37999999999994
MOISTURIZER CREAM-50 G,मॉइस्चराइज़र क्रीम 50 ग्राम,2026-01-03,2024-04-04,2024-01-04,24,TI54AAA2425,ABHI240001,05AAECK5765H1ZE,33049930,KANHA JI DISTRIBUTORS,file1_2024-2025,1874.08,1588.2033898305085,66.17514124293785,9.0,9.0,0,18,142.93830508474576,142.93830508474576,0.0,1874.08
SAUNDARYA FACE WASH 100 G,सौंदर्य फेस वॉश 100 ग्राम,2026-01-13,2024-04-04,2024-01-24,24,TI54AAA2425,ANT2400006,05AAECK5765H1ZE,34013090,KANHA JI DISTRIBUTORS,file1_2024-2025,1909.06,1617.8474576271187,67.41031073446328,9.0,9.0,0,18,145.6062711864407,145.6062711864407,0.0,1909.06
ROGHAN BADAM SHIRIN - 150 ML - T,रोगन बादाम शिरीन 150 मि.ली.,2026-10-09,2024-04-04,2023-10-25,6,TI54AAA2425,BRBS230030,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,1935.0,1842.857142857143,307.14285714285717,2.5,2.5,0,5,46.07142857142857,46.07142857142857,0.0,1935.0000000000002
ROGHAN BADAM SHIRIN - 60 ML - T,रोगन बादाम शिरीन 60 मि.ली.,2026-11-04,2024-04-04,2023-11-20,12,TI54AAA2425,BRBS230034,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,1634.03,1556.2190476190476,129.68492063492064,2.5,2.5,0,5,38.90547619047619,38.90547619047619,0.0,1634.0300000000002
Punarnavadi Mandoor 60 Tab,पुनर्नवादि मांडूर 60 टैबलेट,2033-11-24,2024-04-04,2024-01-16,20,TI54AAA2425,BPNM240008,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,916.65,872.9999999999999,43.64999999999999,2.5,2.5,0,5,21.824999999999996,21.824999999999996,0.0,916.65
DIVYA MEDHA VATI EX.POWER 30X4 TAB,दिव्य मेधा वटी एक्स्ट्रा पावर 30×4 टैबलेट,2029-02-04,2024-04-04,2024-03-02,20,TI54AAA2425,BMDE240019,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,4083.3,3645.803571428571,182.29017857142856,6.0,6.0,0,12,218.74821428571428,218.74821428571428,0.0,4083.2999999999997
TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),पारंपरिक गेहूं का आटा 10 किग्रा (यूके),2024-06-15,2024-04-10,2024-02-16,1,TI182AAA2425,PDBKP24005,05AAECK5765H1ZE,11010000,KANHA JI DISTRIBUTORS,file1_2024-2025,1838.66,1751.104761904762,1751.104761904762,2.5,2.5,0,5,43.77761904761905,43.77761904761905,0.0,1838.66
MAKHANA 250 GM,मखाना 250 ग्राम,2025-01-09,2024-04-10,2024-03-15,1,TI182AAA2425,AALI240021,05AAECK5765H1ZE,8029000,KANHA JI DISTRIBUTORS,file1_2024-2025,5262.77,5012.161904761905,5012.161904761905,2.5,2.5,0,5,125.30404761904764,125.30404761904764,0.0,5262.7699999999995
SOOJI - 500 GM,सूजी 500 ग्राम,2024-07-25,2024-04-10,2024-03-27,1,TI182AAA2425,PDR8240019,05AAECK5765H1ZE,11010000,KANHA JI DISTRIBUTORS,file1_2024-2025,801.21,763.0571428571428,763.0571428571428,2.5,2.5,0,5,19.076428571428572,19.076428571428572,0.0,801.2099999999999
RICE BRAN OIL 1 LTR (P),चावल की भूसी का तेल 1 लीटर,2024-12-26,2024-04-10,2024-03-31,1,TI182AAA2425,ORE2400025,05AAECK5765H1ZE,15159040,KANHA JI DISTRIBUTORS,file1_2024-2025,1346.81,1282.6761904761904,1282.6761904761904,2.5,2.5,0,5,32.06690476190476,32.06690476190476,0.0,1346.8099999999997
NAMKEEN BISCUIT 70G,नमकीन बिस्किट 70 ग्राम,2024-09-04,2024-04-10,2024-03-08,1,TI182AAA2425,CC24/BP1,05AAECK5765H1ZE,19059020,KANHA JI DISTRIBUTORS,file1_2024-2025,422.44,358.0,358.0,9.0,9.0,0,18,32.22,32.22,0.0,422.44000000000005
GONYLE FLOOR CLEANER - 1 LTR,गोनाइल फ्लोर क्लीनर 1 लीटर,2025-03-03,2024-04-10,2024-03-08,1,TI182AAA2425,0629/23-24,05AAECK5765H1ZE,38084000,KANHA JI DISTRIBUTORS,file1_2024-2025,618.63,524.2627118644068,524.2627118644068,9.0,9.0,0,18,47.183644067796614,47.183644067796614,0.0,618.6300000000001
COW GHEE 1L WITH ASTHA GOLDEN DHOOP 16N,गाय का घी 1 लीटर + आस्था गोल्डन धूप 16 नग,2024-12-06,2024-04-10,2024-03-11,1,TI182AAA2425,FBRI240018,05AAECK5765H1ZE,4059020,KANHA JI DISTRIBUTORS,file1_2024-2025,8879.43,7928.062499999999,7928.062499999999,6.0,6.0,0,12,475.6837499999999,475.6837499999999,0.0,8879.429999999998
KESH KANTI ADV.H.HAIR EXPERTOIL-30ML T.O,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 30 मि.ली. (ट्रेड ऑफर),2026-03-27,2024-04-10,2024-03-27,1,TI182AAA2425,ABHX240003,05AAECK5765H1ZE,33059019,KANHA JI DISTRIBUTORS,file1_2024-2025,4163.84,3528.6779661016953,3528.6779661016953,9.0,9.0,0,18,317.58101694915257,317.58101694915257,0.0,4163.84
SAUNDARYA ALOEVERA GEL 150MLB2G1 GEL F.W,सौंदर्य एलोवेरा जेल 150 मि.ली. (खरीदो 2 पाओ 1),2025-08-19,2024-04-10,2024-02-26,12,TI183AAA2425,ABEC240057,05AAECK5765H1ZE,33049990,KANHA JI DISTRIBUTORS,file1_2024-2025,1939.26,1643.4406779661017,136.95338983050848,9.0,9.0,0,18,147.90966101694914,147.90966101694914,0.0,1939.2599999999998
K.K. COLOR DARK BROWN (CREAM & DEV)-T,के.के. कलर गाढ़ा भूरा (क्रीम एवं डेवलपर),2025-02-24,2024-04-10,2024-03-01,20,TI183AAA2425,ACDD240008,05AAECK5765H1ZE,33059090,KANHA JI DISTRIBUTORS,file1_2024-2025,552.71,468.3983050847458,23.41991525423729,9.0,9.0,0,18,42.155847457627125,42.155847457627125,0.0,552.71
SUN SCREEN CREAM SPF30- 50GM,सनस्क्रीन क्रीम SPF 30 - 50 ग्राम,2026-03-13,2024-04-10,2024-03-23,36,TI183AAA2425,AJW2400003,05AAECK5765H1ZE,33049910,KANHA JI DISTRIBUTORS,file1_2024-2025,2787.69,2362.449152542373,65.62358757062148,9.0,9.0,0,18,212.6204237288136,212.6204237288136,0.0,2787.69
DIVYA KANTHAMRIT CHEWABLE TABLET 40 N -T,दिव्य कंठामृत चबाने योग्य टैबलेट 40 नग,2027-01-17,2024-04-10,2024-02-02,20,TI183AAA2425,ADKT240007,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,653.41,583.4017857142857,29.170089285714283,6.0,6.0,0,12,35.00410714285714,35.00410714285714,0.0,653.41
DIVYA KANTHAMRIT CHEWABLE TABLET 80 N -T,दिव्य कंठामृत चबाने योग्य टैबलेट 80 नग,2027-01-05,2024-04-10,2024-01-21,20,TI183AAA2425,ADKT240006,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,1225.06,1093.8035714285713,54.69017857142857,6.0,6.0,0,12,65.62821428571428,65.62821428571428,0.0,1225.0599999999997
DIVYA MUKTA VATI EXTRA POWER 30X4 TAB,दिव्य मुक्तावटी एक्स्ट्रा पावर 30,2029-02-07,2024-04-10,2024-03-05,20,TI183AAA2425,AMUE240029,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,3674.94,3281.1964285714284,164.0598214285714,6.0,6.0,0,12,196.87178571428572,196.87178571428572,0.0,3674.9399999999996
Chandraprabha Vati 40 Tab,चंद्रप्रभा वटी 40 टैबलेट,2028-12-20,2024-04-10,2024-01-16,20,TI183AAA2425,BCPV240008,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,716.73,682.6,34.13,2.5,2.5,0,5,17.065,17.065,0.0,716.7300000000001
Gokshuradi Guggul 40 Tab,गोक्षुरादि गुग्गुल 40 टैबलेट,2028-10-21,2024-04-10,2023-11-17,20,TI183AAA2425,BGKG230068,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,666.75,635.0,31.75,2.5,2.5,0,5,15.875,15.875,0.0,666.75
Arjun Kwath 100 Gm,अर्जुन क्वाथ 100 ग्राम,2026-01-25,2024-04-10,2024-02-05,1,TI183AAA2425,AARK240027,05AAECK5765H1ZE,30049011,KANHA JI DISTRIBUTORS,file1_2024-2025,1041.6,991.9999999999999,991.9999999999999,2.5,2.5,0,5,24.799999999999997,24.799999999999997,0.0,1041.6
AASTHA BOUQUET CONE DHOOP - 200 GM,आस्था बुके कोन धूप 200 ग्राम,2026-01-27,2024-04-20,2024-02-07,3,TI30031AAA2425,AAWA240005,05AELPS3782C1ZD,33074100,DEEPAK TRADERS,file1_2024-2025,215.87,205.59047619047618,68.53015873015873,2.5,2.5,0,5,5.1397619047619045,5.1397619047619045,0.0,215.87
AASTHA BOUQUET CONE DHOOP - 200 GM,आस्था बुके कोन धूप 200 ग्राम,2026-03-08,2024-04-20,2024-03-18,3,TI30031AAA2425,AAWA240012,05AELPS3782C1ZD,33074100,DEEPAK TRADERS,file1_2024-2025,215.87,205.59047619047618,68.53015873015873,2.5,2.5,0,5,5.1397619047619045,5.1397619047619045,0.0,215.87
AASTHA CHAMPA CONE DHOOP - 200 GM,आस्था चंपा कोन धूप 200 ग्राम,2026-02-28,2024-04-20,2024-03-10,4,TI30031AAA2425,AAUX240010,05AELPS3782C1ZD,33074100,DEEPAK TRADERS,file1_2024-2025,287.83,274.1238095238095,68.53095238095237,2.5,2.5,0,5,6.8530952380952375,6.8530952380952375,0.0,287.83
