item_name,hindi_name,exp_date,invoice_date,mfg_date,quantity,sgst_rate,invoice_no,cgst_rate,batch_no,Item_Net_Amount,supplier_gstin,total_gst_rate,hsn_code,igst_rate,mrp,igst_amount,supplier_name,data_source
ATTA NOODLES CHATPATA-60 GM (96 PC) - T,आटा नूडल्स चटपटा 60 ग्राम (96 नग),2024-11-19,2024-04-04,2024-02-23,1,6,TI53AAA2425,6,CH230224,917.15,05AAECK5765H1ZE,12,19022090,0,12,0,KANHA JI DISTRIBUTORS,file1_2024-2025
TUVAR DAL 1000 GM (R1),अरहर दाल 1000 ग्राम,2024-11-15,2024-04-04,2024-02-19,1,2.5,TI53AAA2425,2.5,BPRAD24005,1930.85,05AAECK5765H1ZE,5,7136000,0,225,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SABZI MASALA 100 GM (30 pcs),सब्जी मसाला 100 ग्राम (30 नग),2025-03-07,2024-04-04,2024-03-12,1,2.5,TI53AAA2425,2.5,AFI2400009,1308.47,05AAECK5765H1ZE,5,9109100,0,65,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DANT KANTI NATURAL(200GX3)BIG SAVER PACK,दंत कान्ति नेचुरल (200 ग्राम × 3) बड़ा बचत पैक,2026-02-18,2024-04-04,2024-02-29,1,9,TI53AAA2425,9,AAPW240008,5610,05AAECK5765H1ZE,18,33061020,0,280,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA GODHAN ARK - 450ML,दिव्य गोधन अर्क 450 मि.ली.,2025-01-28,2024-04-04,2024-02-03,1,6,TI53AAA2425,6,AGDA240007,816.7,05AAECK5765H1ZE,12,30049011,0,50,0,KANHA JI DISTRIBUTORS,file1_2024-2025
GONYLE FLOOR CLEANER - 5 LTR,गोनाइल फ्लोर क्लीनर 5 लीटर,2025-02-27,2024-04-04,2024-03-04,1,9,TI53AAA2425,9,0161/23-24,1066.6,05AAECK5765H1ZE,18,38084000,0,330,0,KANHA JI DISTRIBUTORS,file1_2024-2025
GILOY JUICE 500 ML,गिलोय रस 500 मि.ली.,2025-03-01,2024-04-04,2024-03-01,1,6,TI53AAA2425,6,PFY2400004,854.52,05AAECK5765H1ZE,12,30049011,0,90,0,KANHA JI DISTRIBUTORS,file1_2024-2025
ALOEVERA JUICE 1 L (FIBRE),एलोवेरा रस (फाइबर युक्त) 1 लीटर,2024-12-02,2024-04-04,2024-03-07,1,6,TI53AAA2425,6,PGD2400100,1754.68,05AAECK5765H1ZE,12,30049011,0,210,0,KANHA JI DISTRIBUTORS,file1_2024-2025
BURA 1 KG,बूरा 1 किग्रा,2024-12-01,2024-04-04,2024-03-06,1,2.5,TI53AAA2425,2.5,AKI2400028,2020.41,05AAECK5765H1ZE,5,17029090,0,75,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SABUDANA 500 GM,साबूदाना 500 ग्राम,2024-09-08,2024-04-04,2024-03-12,10,2.5,TI53AAA2425,2.5,AALX240014,592.1,05AAECK5765H1ZE,5,19030000,0,70,0,KANHA JI DISTRIBUTORS,file1_2024-2025
Divya Jwar Nashak Vati 40 Tab,दिव्य ज्वर नाशक वटी 40 टैबलेट,2026-11-19,2024-04-04,2023-12-05,20,6,TI54AAA2425,6,AJNV230018,916.61,05AAECK5765H1ZE,12,30049011,0,55,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA ASHWAGANDHA CHURNA - 100 GM,दिव्य अश्वगंधा चूर्ण 100 ग्राम,2026-01-23,2024-04-04,2024-02-03,25,2.5,TI54AAA2425,2.5,AAGC240013,1735.39,05AAECK5765H1ZE,5,30049011,0,85,0,KANHA JI DISTRIBUTORS,file1_2024-2025
ALOE SOFT MOISTURIZING CREAM-50 G,एलो सॉफ्ट मॉइस्चराइजिंग क्रीम 50 ग्राम,2026-01-09,2024-04-04,2024-01-10,24,9,TI54AAA2425,9,ABHW240001,1874.08,05AAECK5765H1ZE,18,33049930,0,100,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA SHILAJEET DROPS 30 ML - T,दिव्य शिलाजीत ड्रॉप्स 30 मि.ली.,2025-12-30,2024-04-04,2024-01-10,20,6,TI54AAA2425,6,BSJD240001,2041.76,05AAECK5765H1ZE,12,30049011,0,125,0,KANHA JI DISTRIBUTORS,file1_2024-2025
ROSE FACE WASH 60 G,गुलाब फेस वॉश 60 ग्राम,2025-04-09,2024-04-04,2023-10-17,12,9,TI54AAA2425,9,AIO2300004,499.95,05AAECK5765H1ZE,18,34013090,0,55,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SAUNDARYA ALOEVERA GEL K.CHANDAN 60 ML,सौंदर्य एलोवेरा जेल केसर-चंदन 60 मि.ली.,2025-08-08,2024-04-04,2024-02-15,24,9,TI54AAA2425,9,AAHU240004,1163.62,05AAECK5765H1ZE,18,33049910,0,60,0,KANHA JI DISTRIBUTORS,file1_2024-2025
BEAUTY CREAM ADV.- 50 G,ब्यूटी क्रीम एडवांस 50 ग्राम,2025-11-19,2024-04-04,2023-11-20,36,9,TI54AAA2425,9,ABED230015,2648.16,05AAECK5765H1ZE,18,33049910,0,95,0,KANHA JI DISTRIBUTORS,file1_2024-2025
CRACK HEAL CREAM 50 G,क्रैक हील क्रीम 50 ग्राम,2026-01-11,2024-04-04,2024-01-12,36,9,TI54AAA2425,9,AAE2400001,1672.7,05AAECK5765H1ZE,18,33049990,0,60,0,KANHA JI DISTRIBUTORS,file1_2024-2025
Divya Gulab Jal 120 ml-DUP,दिव्य गुलाब जल 120 मि.ली.,2025-01-28,2024-04-04,2024-02-03,30,9,TI54AAA2425,9,BGLJ240013,857.39,05AAECK5765H1ZE,18,33030020,0,35,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DRISHTI EYE DROP 10 ML (NEW),दृष्टि नेत्र ड्रॉप 10 मि.ली. (नया),2025-03-18,2024-04-04,2024-03-18,40,6,TI54AAA2425,6,AAST240009,633.02,05AAECK5765H1ZE,12,30049011,0,20,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KESH KANTI HERBAL MEHANDI (NAT. BLACK)-T,केश कान्ति हर्बल मेहंदी (नेचुरल ब्लैक),2024-12-26,2024-04-04,2024-01-01,20,9,TI54AAA2425,9,ANBL240021,315.77,05AAECK5765H1ZE,18,33059090,0,20,0,KANHA JI DISTRIBUTORS,file1_2024-2025
BOROSAFE ANTISEPTIC 50 GM CREAM,बोरोज़सेफ एंटीसेप्टिक क्रीम 50 ग्राम,2025-11-24,2024-04-04,2023-12-05,36,9,TI54AAA2425,9,AJG2300009,1254.53,05AAECK5765H1ZE,18,33049910,0,45,0,KANHA JI DISTRIBUTORS,file1_2024-2025
BADAM PAK 250 G,बादाम पाक 250 ग्राम,2026-01-04,2024-04-04,2024-01-05,6,6,TI54AAA2425,6,ACX2400001,688.4,05AAECK5765H1ZE,12,30049011,0,145,0,KANHA JI DISTRIBUTORS,file1_2024-2025
BADAM PAK 500 G,बादाम पाक 500 ग्राम,2026-02-08,2024-04-04,2024-02-19,6,6,TI54AAA2425,6,ACY2400003,1305.56,05AAECK5765H1ZE,12,30049011,0,275,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA DHARA 10 ML (800 PC),दिव्य धारा 10 मि.ली. (800 नग),2026-11-22,2024-04-04,2023-12-08,10,6,TI54AAA2425,6,ADYD230046,367.47,05AAECK5765H1ZE,12,30049011,0,45,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KESH KANTI ADVANCE H.HAIR EXPERTOIL 30ML,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 30 मि.ली.,2025-12-26,2024-04-04,2023-12-27,6,9,TI54AAA2425,9,AAUK230011,416.38,05AAECK5765H1ZE,18,33059019,0,100,0,KANHA JI DISTRIBUTORS,file1_2024-2025
MOISTURIZER CREAM-50 G,मॉइस्चराइज़र क्रीम 50 ग्राम,2026-01-03,2024-04-04,2024-01-04,24,9,TI54AAA2425,9,ABHI240001,1874.08,05AAECK5765H1ZE,18,33049930,0,100,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SAUNDARYA FACE WASH 100 G,सौंदर्य फेस वॉश 100 ग्राम,2026-01-13,2024-04-04,2024-01-24,24,9,TI54AAA2425,9,ANT2400006,1909.06,05AAECK5765H1ZE,18,34013090,0,105,0,KANHA JI DISTRIBUTORS,file1_2024-2025
ROGHAN BADAM SHIRIN - 150 ML - T,रोगन बादाम शिरीन 150 मि.ली.,2026-10-09,2024-04-04,2023-10-25,6,2.5,TI54AAA2425,2.5,BRBS230030,1935,05AAECK5765H1ZE,5,30049011,0,450,0,KANHA JI DISTRIBUTORS,file1_2024-2025
ROGHAN BADAM SHIRIN - 60 ML - T,रोगन बादाम शिरीन 60 मि.ली.,2026-11-04,2024-04-04,2023-11-20,12,2.5,TI54AAA2425,2.5,BRBS230034,1634.03,05AAECK5765H1ZE,5,30049011,0,190,0,KANHA JI DISTRIBUTORS,file1_2024-2025
Punarnavadi Mandoor 60 Tab,पुनर्नवादि मांडूर 60 टैबलेट,2033-11-24,2024-04-04,2024-01-16,20,2.5,TI54AAA2425,2.5,BPNM240008,916.65,05AAECK5765H1ZE,5,30049011,0,55,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA MEDHA VATI EX.POWER 30X4 TAB,दिव्य मेधा वटी एक्स्ट्रा पावर 30×4 टैबलेट,2029-02-04,2024-04-04,2024-03-02,20,6,TI54AAA2425,6,BMDE240019,4083.3,05AAECK5765H1ZE,12,30049011,0,250,0,KANHA JI DISTRIBUTORS,file1_2024-2025
TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),पारंपरिक गेहूं का आटा 10 किग्रा (यूके),2024-06-15,2024-04-10,2024-02-16,1,2.5,TI182AAA2425,2.5,PDBKP24005,1838.66,05AAECK5765H1ZE,5,11010000,0,410,0,KANHA JI DISTRIBUTORS,file1_2024-2025
MAKHANA 250 GM,मखाना 250 ग्राम,2025-01-09,2024-04-10,2024-03-15,1,2.5,TI182AAA2425,2.5,AALI240021,5262.77,05AAECK5765H1ZE,5,8029000,0,370,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SOOJI - 500 GM,सूजी 500 ग्राम,2024-07-25,2024-04-10,2024-03-27,1,2.5,TI182AAA2425,2.5,PDR8240019,801.21,05AAECK5765H1ZE,5,11010000,0,35,0,KANHA JI DISTRIBUTORS,file1_2024-2025
RICE BRAN OIL 1 LTR (P),चावल की भूसी का तेल 1 लीटर,2024-12-26,2024-04-10,2024-03-31,1,2.5,TI182AAA2425,2.5,ORE2400025,1346.81,05AAECK5765H1ZE,5,15159040,0,125,0,KANHA JI DISTRIBUTORS,file1_2024-2025
NAMKEEN BISCUIT 70G,नमकीन बिस्किट 70 ग्राम,2024-09-04,2024-04-10,2024-03-08,1,9,TI182AAA2425,9,CC24/BP1,422.44,05AAECK5765H1ZE,18,19059020,0,10,0,KANHA JI DISTRIBUTORS,file1_2024-2025
GONYLE FLOOR CLEANER - 1 LTR,गोनाइल फ्लोर क्लीनर 1 लीटर,2025-03-03,2024-04-10,2024-03-08,1,9,TI182AAA2425,9,0629/23-24,618.63,05AAECK5765H1ZE,18,38084000,0,70,0,KANHA JI DISTRIBUTORS,file1_2024-2025
COW GHEE 1L WITH ASTHA GOLDEN DHOOP 16N,गाय का घी 1 लीटर + आस्था गोल्डन धूप 16 नग,2024-12-06,2024-04-10,2024-03-11,1,6,TI182AAA2425,6,FBRI240018,8879.43,05AAECK5765H1ZE,12,4059020,0,665,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KESH KANTI ADV.H.HAIR EXPERTOIL-30ML T.O,केश कान्ति एडवांस हेयर एक्सपर्ट ऑयल 30 मि.ली. (ट्रेड ऑफर),2026-03-27,2024-04-10,2024-03-27,1,9,TI182AAA2425,9,ABHX240003,4163.84,05AAECK5765H1ZE,18,33059019,0,100,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SAUNDARYA ALOEVERA GEL 150MLB2G1 GEL F.W,सौंदर्य एलोवेरा जेल 150 मि.ली. (खरीदो 2 पाओ 1),2025-08-19,2024-04-10,2024-02-26,12,9,TI183AAA2425,9,ABEC240057,1939.26,05AAECK5765H1ZE,18,33049990,0,200,0,KANHA JI DISTRIBUTORS,file1_2024-2025
K.K. COLOR DARK BROWN (CREAM & DEV)-T,के.के. कलर गाढ़ा भूरा (क्रीम एवं डेवलपर),2025-02-24,2024-04-10,2024-03-01,20,9,TI183AAA2425,9,ACDD240008,552.71,05AAECK5765H1ZE,18,33059090,0,35,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SUN SCREEN CREAM SPF30- 50GM,सनस्क्रीन क्रीम SPF 30 - 50 ग्राम,2026-03-13,2024-04-10,2024-03-23,36,9,TI183AAA2425,9,AJW2400003,2787.69,05AAECK5765H1ZE,18,33049910,0,100,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA KANTHAMRIT CHEWABLE TABLET 40 N -T,दिव्य कंठामृत चबाने योग्य टैबलेट 40 नग,2027-01-17,2024-04-10,2024-02-02,20,6,TI183AAA2425,6,ADKT240007,653.41,05AAECK5765H1ZE,12,30049011,0,40,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA KANTHAMRIT CHEWABLE TABLET 80 N -T,दिव्य कंठामृत चबाने योग्य टैबलेट 80 नग,2027-01-05,2024-04-10,2024-01-21,20,6,TI183AAA2425,6,ADKT240006,1225.06,05AAECK5765H1ZE,12,30049011,0,75,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA MUKTA VATI EXTRA POWER 30X4 TAB,दिव्य मुक्तावटी एक्स्ट्रा पावर 30,2029-02-07,2024-04-10,2024-03-05,20,6,TI183AAA2425,6,AMUE240029,3674.94,05AAECK5765H1ZE,12,30049011,0,225,0,KANHA JI DISTRIBUTORS,file1_2024-2025
Chandraprabha Vati 40 Tab,चंद्रप्रभा वटी 40 टैबलेट,2028-12-20,2024-04-10,2024-01-16,20,2.5,TI183AAA2425,2.5,BCPV240008,716.73,05AAECK5765H1ZE,5,30049011,0,43,0,KANHA JI DISTRIBUTORS,file1_2024-2025
Gokshuradi Guggul 40 Tab,गोक्षुरादि गुग्गुल 40 टैबलेट,2028-10-21,2024-04-10,2023-11-17,20,2.5,TI183AAA2425,2.5,BGKG230068,666.75,05AAECK5765H1ZE,5,30049011,0,40,0,KANHA JI DISTRIBUTORS,file1_2024-2025
Arjun Kwath 100 Gm,अर्जुन क्वाथ 100 ग्राम,2026-01-25,2024-04-10,2024-02-05,1,2.5,TI183AAA2425,2.5,AARK240027,1041.6,05AAECK5765H1ZE,5,30049011,0,25,0,KANHA JI DISTRIBUTORS,file1_2024-2025
AASTHA BOUQUET CONE DHOOP - 200 GM,आस्था बुके कोन धूप 200 ग्राम,2026-01-27,2024-04-20,2024-02-07,3,2.5,TI30031AAA2425,2.5,AAWA240005,215.87,05AELPS3782C1ZD,5,33074100,0,120,0,DEEPAK TRADERS,file1_2024-2025
AASTHA BOUQUET CONE DHOOP - 200 GM,आस्था बुके कोन धूप 200 ग्राम,2026-03-08,2024-04-20,2024-03-18,3,2.5,TI30031AAA2425,2.5,AAWA240012,215.87,05AELPS3782C1ZD,5,33074100,0,120,0,DEEPAK TRADERS,file1_2024-2025
AASTHA CHAMPA CONE DHOOP - 200 GM,आस्था चंपा कोन धूप 200 ग्राम,2026-02-28,2024-04-20,2024-03-10,4,2.5,TI30031AAA2425,2.5,AAUX240010,287.83,05AELPS3782C1ZD,5,33074100,0,120,0,DEEPAK TRADERS,file1_2024-2025
AASTHA CAMPHOR 25 GM,आस्था कपूर 25 ग्राम,2033-09-04,2024-04-20,2023-10-27,36,9,TI30031AAA2425,9,A9D2300073,1310.51,05AELPS3782C1ZD,18,29142922,0,60,0,DEEPAK TRADERS,file1_2024-2025
AASTHA ROSE DRY DHOOP STICK-200 G,आस्था गुलाब ड्राई धूप स्टिक 200 ग्राम,2026-01-19,2024-04-20,2024-01-30,4,2.5,TI30031AAA2425,2.5,ABHP240003,296.31,05AELPS3782C1ZD,5,33074100,0,120,0,DEEPAK TRADERS,file1_2024-2025
AASTHA SPECIAL ROSE DHOOP -10 N,आस्था स्पेशल गुलाब धूप 10 नग,2026-01-12,2024-04-20,2024-01-23,24,2.5,TI30031AAA2425,2.5,AABL240001,148.18,05AELPS3782C1ZD,5,33074100,0,10,0,DEEPAK TRADERS,file1_2024-2025
AASTHA SPECIAL ROSE DHOOP -10 N,आस्था स्पेशल गुलाब धूप 10 नग,2026-02-23,2024-04-20,2024-03-05,12,2.5,TI30031AAA2425,2.5,AABL240009,74.09,05AELPS3782C1ZD,5,33074100,0,10,0,DEEPAK TRADERS,file1_2024-2025
AASTHA SPECIAL GUGAL DHOOP -10 N,आस्था स्पेशल गुगल धूप 10 नग,2026-02-27,2024-04-20,2024-03-09,36,2.5,TI30031AAA2425,2.5,AABM240005,222.26,05AELPS3782C1ZD,5,33074100,0,10,0,DEEPAK TRADERS,file1_2024-2025
AASTHA COWS GHEE 200 ML - T,आस्था गाय का घी 200 मि.ली.,2024-10-28,2024-04-20,2024-02-01,30,6,TI30031AAA2425,6,NBAI240001,4102.22,05AELPS3782C1ZD,12,4059020,0,150,0,DEEPAK TRADERS,file1_2024-2025
AASTHA COWS GHEE 100 ML - T,आस्था गाय का घी 100 मि.ली.,2024-10-28,2024-04-20,2024-02-01,12,6,TI30031AAA2425,6,NBHO240002,918.09,05AELPS3782C1ZD,12,4059020,0,95,0,DEEPAK TRADERS,file1_2024-2025
AASTHA LONG COTTONWICK -30 GM,आस्था लंबी रूई बत्ती 30 ग्राम,2027-02-25,2024-04-20,2024-03-12,24,0,TI30031AAA2425,0,ABRP240001,696.72,05AELPS3782C1ZD,0,59080010,0,40,0,DEEPAK TRADERS,file1_2024-2025
AASTHA SANDAL DRY DHOOP STICK-200 G,आस्था चंदन ड्राई धूप स्टिक 200 ग्राम,2026-02-24,2024-04-20,2024-03-06,4,2.5,TI30031AAA2425,2.5,ABHQ240007,296.31,05AELPS3782C1ZD,5,33074100,0,120,0,DEEPAK TRADERS,file1_2024-2025
AASTHA RAJNIGANDHA DRY DHOOP STICK-200 G,आस्था रजनीगंधा ड्राई धूप स्टिक 200 ग्राम,2025-10-21,2024-04-20,2023-11-01,4,2.5,TI30031AAA2425,2.5,ABHR230019,296.31,05AELPS3782C1ZD,5,33074100,0,120,0,DEEPAK TRADERS,file1_2024-2025
RED CHILLI POWDER 100 GM,लाल मिर्च पाउडर 100 ग्राम,2025-02-20,2024-05-02,2024-02-26,1,2.5,TI622AAA2425,2.5,ABKC240002,2589.11,05AAECK5765H1ZE,5,9109100,0,65,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SESAME OIL 1 L (B)-T,तिल का तेल 1 लीटर,2024-12-15,2024-05-02,2024-03-20,1,2.5,TI622AAA2425,2.5,JACQ240021,3450.89,05AAECK5765H1ZE,5,15155091,0,340,0,KANHA JI DISTRIBUTORS,file1_2024-2025
SUPER DISHWASH BAR-RS10/- (T.O. FREE 3N),सुपर डिशवॉश बार ₹10/- (ट्रेड ऑफर फ्री 3 नग),2027-04-10,2024-05-02,2024-04-10,2,9,TI622AAA2425,9,AAXY240078,1031.05,05AAECK5765H1ZE,18,34011941,0,10,0,KANHA JI DISTRIBUTORS,file1_2024-2025
KESH KANTI HERBAL MEHNDI-150 G,केश कान्ति हर्बल मेहंदी 150 ग्राम,2025-12-13,2024-05-02,2023-12-14,1,9,TI622AAA2425,9,ABNV230006,3004.79,05AAECK5765H1ZE,18,33059090,0,70,0,KANHA JI DISTRIBUTORS,file1_2024-2025
ALOEVERA JUICE 1 L (FIBRE),एलोवेरा रस (फाइबर युक्त) 1 लीटर,2024-12-27,2024-05-02,2024-04-01,1,6,TI622AAA2425,6,PGD2400142,1754.68,05AAECK5765H1ZE,12,30049011,0,210,0,KANHA JI DISTRIBUTORS,file1_2024-2025
AMLA JUICE 1 L,आंवला रस 1 लीटर,2025-03-23,2024-05-02,2024-03-28,1,6,TI622AAA2425,6,AGH2400080,1169.83,05AAECK5765H1ZE,12,30049011,0,140,0,KANHA JI DISTRIBUTORS,file1_2024-2025
AMLA ALOEVERA JUICE WHEAT GRASS 500ML,आंवला-एलोवेरा रस गेहूं घास युक्त 500 मि.ली.,2025-03-16,2024-05-02,2024-03-16,1,6,TI622AAA2425,6,ARW2400015,949.54,05AAECK5765H1ZE,12,30049011,0,100,0,KANHA JI DISTRIBUTORS,file1_2024-2025
TRADITIONAL WHOLE WHEAT ATTA 5 KG(UK),पारंपरिक गेहूं का आटा 5 किग्रा (यूके),2024-07-16,2024-05-02,2024-03-18,1,2.5,TI622AAA2425,2.5,PDBKQ24006,1542.66,05AAECK5765H1ZE,5,11010000,0,215,0,KANHA JI DISTRIBUTORS,file1_2024-2025
TRADITIONAL WHOLE WHEAT ATTA 10 KG(UK),पारंपरिक गेहूं का आटा 10 किग्रा (यूके),2024-06-15,2024-05-02,2024-02-16,1,2.5,TI622AAA2425,2.5,PDBKP24005,1838.66,05AAECK5765H1ZE,5,11010000,0,410,0,KANHA JI DISTRIBUTORS,file1_2024-2025
DIVYA ABHYARISHTA 450ML,दिव्य अभयारिष्ट 450 मि.ली.,2034-02-28,2024-05-02,2024-03-02,1,2.5,TI622AAA2425,2.5,ABY240012,1933.35,05AAECK5765H1ZE,5,30049011,0,145,0,KANHA JI DISTRIBUTORS,file1_2024-2025
